chr_name	begin	end	overlap_count	p-value
chr1	0	10000000	0	1.000000
chr1	10000000	20000000	0	1.000000
chr1	20000000	30000000	0	1.000000
chr1	30000000	40000000	0	1.000000
chr1	40000000	50000000	0	1.000000
chr1	50000000	60000000	0	1.000000
chr1	60000000	70000000	0	1.000000
chr1	70000000	80000000	0	1.000000
chr1	80000000	90000000	0	1.000000
chr1	90000000	100000000	0	1.000000
chr1	100000000	110000000	0	1.000000
chr1	110000000	120000000	0	1.000000
chr1	120000000	130000000	0	1.000000
chr1	130000000	140000000	0	1.000000
chr1	140000000	150000000	2	0.015587
chr1	150000000	160000000	2	0.024153
chr1	160000000	170000000	0	1.000000
chr1	170000000	180000000	0	1.000000
chr1	180000000	190000000	0	1.000000
chr1	190000000	200000000	0	1.000000
chr1	200000000	210000000	1	0.021141
chr1	210000000	220000000	0	1.000000
chr1	220000000	230000000	0	1.000000
chr1	230000000	240000000	0	1.000000
chr1	240000000	249250621	0	1.000000
chr10	0	10000000	0	1.000000
chr10	10000000	20000000	0	1.000000
chr10	20000000	30000000	0	1.000000
chr10	30000000	40000000	0	1.000000
chr10	40000000	50000000	0	1.000000
chr10	50000000	60000000	0	1.000000
chr10	60000000	70000000	0	1.000000
chr10	70000000	80000000	0	1.000000
chr10	80000000	90000000	0	1.000000
chr10	90000000	100000000	0	1.000000
chr10	100000000	110000000	0	1.000000
chr10	110000000	120000000	0	1.000000
chr10	120000000	130000000	0	1.000000
chr10	130000000	135534747	0	1.000000
chr11	0	10000000	0	1.000000
chr11	10000000	20000000	0	1.000000
chr11	20000000	30000000	0	1.000000
chr11	30000000	40000000	0	1.000000
chr11	40000000	50000000	0	1.000000
chr11	50000000	60000000	0	1.000000
chr11	60000000	70000000	1	0.040287
chr11	70000000	80000000	5	0.015475
chr11	80000000	90000000	0	1.000000
chr11	90000000	100000000	0	1.000000
chr11	100000000	110000000	0	1.000000
chr11	110000000	120000000	0	1.000000
chr11	120000000	130000000	0	1.000000
chr11	130000000	135006516	0	1.000000
chr12	0	10000000	3	0.001200
chr12	10000000	20000000	2	0.046971
chr12	20000000	30000000	1	0.085443
chr12	30000000	40000000	1	0.036202
chr12	40000000	50000000	0	1.000000
chr12	50000000	60000000	1	0.031061
chr12	60000000	70000000	1	0.075493
chr12	70000000	80000000	0	1.000000
chr12	80000000	90000000	0	1.000000
chr12	90000000	100000000	0	1.000000
chr12	100000000	110000000	0	1.000000
chr12	110000000	120000000	0	1.000000
chr12	120000000	130000000	0	1.000000
chr12	130000000	133851895	0	1.000000
chr13	0	10000000	0	1.000000
chr13	10000000	20000000	0	1.000000
chr13	20000000	30000000	0	1.000000
chr13	30000000	40000000	0	1.000000
chr13	40000000	50000000	0	1.000000
chr13	50000000	60000000	0	1.000000
chr13	60000000	70000000	0	1.000000
chr13	70000000	80000000	0	1.000000
chr13	80000000	90000000	0	1.000000
chr13	90000000	100000000	0	1.000000
chr13	100000000	110000000	0	1.000000
chr13	110000000	115169878	0	1.000000
chr14	0	10000000	0	1.000000
chr14	10000000	20000000	0	1.000000
chr14	20000000	30000000	0	1.000000
chr14	30000000	40000000	3	0.075594
chr14	40000000	50000000	0	1.000000
chr14	50000000	60000000	0	1.000000
chr14	60000000	70000000	0	1.000000
chr14	70000000	80000000	0	1.000000
chr14	80000000	90000000	0	1.000000
chr14	90000000	100000000	0	1.000000
chr14	100000000	107349540	0	1.000000
chr15	0	10000000	0	1.000000
chr15	10000000	20000000	0	1.000000
chr15	20000000	30000000	0	1.000000
chr15	30000000	40000000	0	1.000000
chr15	40000000	50000000	0	1.000000
chr15	50000000	60000000	0	1.000000
chr15	60000000	70000000	0	1.000000
chr15	70000000	80000000	0	1.000000
chr15	80000000	90000000	0	1.000000
chr15	90000000	100000000	0	1.000000
chr15	100000000	102531392	0	1.000000
