chr_name	begin	end	overlap_count	p-value
chr1	0	10000	5	0.000000
chr1	10000	20000	3	0.000007
chr1	20000	30000	3	0.000020
chr1	30000	40000	4	0.000001
chr1	40000	50000	2	0.000119
chr1	50000	60000	1	0.018562
chr1	60000	70000	4	0.000000
chr1	70000	80000	4	0.000001
chr1	80000	90000	3	0.000004
chr1	90000	100000	7	0.000000
chr1	100000	110000	4	0.000000
chr1	110000	120000	8	0.000000
chr1	120000	130000	3	0.000001
chr1	130000	140000	4	0.000000
chr1	140000	150000	3	0.000022
chr1	150000	160000	1	0.010136
chr1	160000	170000	6	0.000000
chr1	170000	180000	5	0.000000
chr1	180000	190000	0	1.000000
chr1	190000	200000	1	0.040540
chr1	200000	210000	4	0.000000
chr1	210000	220000	1	0.010329
chr1	220000	230000	2	0.000675
chr1	230000	240000	2	0.000115
chr1	240000	250000	4	0.000000
chr1	250000	260000	2	0.000324
chr1	260000	270000	4	0.000003
chr1	270000	280000	4	0.000000
chr1	280000	290000	4	0.000000
chr1	290000	300000	7	0.000000
chr1	300000	310000	5	0.000000
chr1	310000	320000	5	0.000000
chr1	320000	330000	0	1.000000
chr1	330000	340000	4	0.000003
chr1	340000	350000	4	0.000000
chr1	350000	360000	3	0.000008
chr1	360000	370000	1	0.022023
chr1	370000	380000	2	0.003786
chr1	380000	390000	4	0.000000
chr1	390000	400000	7	0.000000
chr1	400000	410000	7	0.000000
chr1	410000	420000	5	0.000000
chr1	420000	430000	3	0.000298
chr1	430000	440000	4	0.000000
chr1	440000	450000	2	0.000321
chr1	450000	460000	7	0.000000
chr1	460000	470000	4	0.000001
chr1	470000	480000	1	0.009862
chr1	480000	490000	7	0.000000
chr1	490000	500000	3	0.000106
chr1	500000	510000	6	0.000000
chr1	510000	520000	4	0.000000
chr1	520000	530000	4	0.000000
chr1	530000	540000	8	0.000000
chr1	540000	550000	2	0.000274
chr1	550000	560000	6	0.000000
chr1	560000	570000	9	0.000000
chr1	570000	580000	5	0.000000
chr1	580000	590000	6	0.000000
chr1	590000	600000	1	0.029161
chr1	600000	610000	2	0.003645
chr1	610000	620000	7	0.000000
chr1	620000	630000	3	0.000045
chr1	630000	640000	5	0.000000
chr1	640000	650000	3	0.000001
chr1	650000	660000	6	0.000000
chr1	660000	670000	3	0.000037
chr1	670000	680000	6	0.000000
chr1	680000	690000	8	0.000000
chr1	690000	700000	3	0.000001
chr1	700000	710000	3	0.000003
chr1	710000	720000	2	0.000185
chr1	720000	730000	5	0.000000
chr1	730000	740000	5	0.000000
chr1	740000	750000	6	0.000000
chr1	750000	760000	6	0.000000
chr1	760000	770000	2	0.000104
chr1	770000	780000	4	0.000004
chr1	780000	790000	5	0.000000
chr1	790000	800000	6	0.000000
chr1	800000	810000	2	0.000086
chr1	810000	820000	4	0.000001
chr1	820000	830000	5	0.000000
chr1	830000	840000	2	0.000604
chr1	840000	850000	6	0.000000
chr1	850000	860000	1	0.029875
chr1	860000	870000	2	0.000086
chr1	870000	880000	4	0.000000
chr1	880000	890000	8	0.000000
chr1	890000	900000	3	0.000004
chr1	900000	910000	3	0.000034
chr1	910000	920000	7	0.000000
chr1	920000	930000	3	0.000006
chr1	930000	940000	4	0.000000
chr1	940000	950000	6	0.000000
chr1	950000	960000	6	0.000000
chr1	960000	970000	4	0.000000
chr1	970000	980000	4	0.000000
chr1	980000	990000	4	0.000000
chr1	990000	1000000	2	0.000277
